Date,TS1_S369,TS2_S372,TS3_S391,TS4_S426,TS5_S21642
10/14/2020,831.58,3046.91,1523.27,1580.54,833.63
10/30/2020,805.32,3183.55,1496.53,1615.69,687.32
11/14/2020,787.36,3138.73,1448.49,1633.29,584.32
11/29/2020,774.76,3155.02,1354.56,1638.63,519.36
12/14/2020,756.43,3147.77,1335.24,1664.19,945.21
12/30/2020,732.56,3094.47,1420.64,1690.50,1221.27
1/14/2021,713.66,2989.26,1403.15,1686.84,1737.35
1/30/2021,712.70,2942.80,1438.07,1697.18,1908.64
2/14/2021,744.87,2927.94,1467.45,1710.50,1881.54
2/27/2021,761.96,2961.88,1497.72,1693.28,2063.99
3/14/2021,802.18,3128.99,1542.09,1684.71,2203.74
3/30/2021,742.40,3095.40,1422.13,1678.07,2163.42
4/14/2021,726.70,3087.02,1397.08,1685.40,2148.16
4/29/2021,730.14,3009.06,1394.88,1673.76,2320.65
5/14/2021,715.56,2920.23,1367.37,1688.91,2444.91
5/30/2021,768.84,2846.80,1515.03,1657.51,2618.52
6/14/2021,733.85,2784.99,1544.69,1656.63,2537.25
6/29/2021,717.48,2694.95,1537.82,1642.84,2399.53
7/14/2021,720.62,2625.20,1502.70,1620.70,2146.07
7/30/2021,695.76,2563.39,1444.03,1585.24,1814.31
8/14/2021,685.95,2518.73,1392.68,1604.31,1518.29
8/30/2021,684.88,2479.91,1347.34,1606.60,1226.55
9/14/2021,653.25,2451.65,1302.13,1581.30,991.86
9/29/2021,674.70,2652.38,1263.41,1560.90,798.98
10/14/2021,730.86,2972.05,1227.53,1590.87,639.09
10/30/2021,743.26,3140.27,1180.75,1572.71,502.79
11/14/2021,745.78,3153.82,1138.09,1545.38,407.36
11/29/2021,708.41,3107.72,992.99,1527.21,346.24
12/14/2021,704.53,3088.19,913.72,1514.47,742.28
12/30/2021,648.41,2938.07,928.45,1504.14,1294.71
1/14/2022,626.25,2828.59,904.96,1471.17,1864.60
1/30/2022,657.93,2713.94,953.80,1432.68,1912.64
2/14/2022,678.53,2678.24,1124.20,1400.79,1838.18
2/27/2022,671.72,2706.58,1258.50,1368.37,1624.75
3/14/2022,706.26,2770.28,1357.91,1323.95,1380.27
3/30/2022,686.78,2727.21,1272.74,1285.39,1105.87
4/14/2022,667.62,2700.06,1299.57,1269.25,1030.07
4/29/2022,638.51,2633.52,1285.39,1266.26,1001.23
5/14/2022,617.52,2561.02,1231.83,1265.29,1361.20
5/30/2022,599.19,2514.76,1268.50,1277.44,1460.87
6/14/2022,578.20,2425.65,1219.81,1271.30,1412.58
6/29/2022,570.42,2352.89,1159.25,1266.41,1324.53
7/14/2022,569.78,2261.93,1112.36,1235.40,1167.70
7/30/2022,565.74,2250.06,1104.82,1194.60,961.99
8/14/2022,564.85,2222.20,1080.26,1162.46,780.53
8/30/2022,564.73,2203.80,1048.79,1103.49,613.55
