Date,TS1_S369,TS2_S372,TS3_S391,TS4_S426,TS5_S21642
9/29/2005,596.85,1744.11,1385.10,1416.05,722.91
10/14/2005,602.03,1981.65,1355.79,1416.59,541.88
10/30/2005,592.18,2109.92,1294.99,1373.65,394.98
11/14/2005,584.11,2185.60,1244.61,1349.79,425.48
11/29/2005,555.27,2139.41,1092.08,1356.65,954.98
12/14/2005,532.65,2086.50,1018.01,1362.02,1242.21
12/30/2005,522.65,2017.91,1056.79,1360.97,1218.41
1/14/2006,509.32,1967.64,1054.32,1339.94,1151.10
1/30/2006,511.90,1990.21,1076.24,1306.76,968.10
2/14/2006,513.89,2052.04,1110.51,1287.30,767.04
2/27/2006,537.09,2155.16,1163.83,1249.57,603.69
3/14/2006,553.73,2192.66,1186.79,1221.46,529.45
3/30/2006,581.78,2258.11,1122.03,1224.14,797.44
4/14/2006,601.37,2290.32,1106.21,1294.67,1606.43
4/29/2006,651.53,2316.49,1266.69,1440.28,2286.28
5/14/2006,660.50,2351.53,1404.26,1547.51,2796.17
5/30/2006,665.53,2365.15,1589.72,1593.39,2810.19
6/14/2006,659.31,2347.15,1616.54,1605.02,2711.29
6/29/2006,641.05,2293.93,1582.95,1575.75,2388.46
7/14/2006,614.24,2165.82,1572.83,1519.42,1977.82
7/30/2006,595.81,2064.65,1561.95,1477.18,1550.01
8/14/2006,578.80,1910.16,1507.73,1424.92,1211.09
8/30/2006,563.45,1887.17,1502.88,1379.33,917.31
9/14/2006,556.51,1906.07,1501.98,1361.76,703.71
9/29/2006,559.13,1934.86,1493.06,1328.85,536.69
10/14/2006,575.27,2235.41,1536.72,1297.96,402.57
10/30/2006,594.27,2338.66,1574.24,1272.59,350.44
11/14/2006,600.34,2306.49,1554.86,1325.49,1167.57
11/29/2006,603.37,2294.64,1507.40,1437.24,2557.59
12/14/2006,607.08,2310.54,1535.90,1553.13,3274.79
12/30/2006,616.91,2337.18,1639.83,1591.50,3321.39
1/14/2007,631.97,2371.98,1781.22,1683.54,4011.05
1/30/2007,631.95,2524.63,1835.01,1694.25,3953.94
2/14/2007,627.85,2787.85,1862.83,1685.88,3697.23
2/27/2007,648.22,3078.92,1872.10,1697.88,3298.16
3/14/2007,711.15,3377.99,1844.67,1687.49,2804.01
3/30/2007,749.13,3473.81,1671.15,1723.31,2291.64
4/14/2007,731.73,3396.96,1608.04,1740.22,1920.84
4/29/2007,741.99,3342.31,1640.97,1779.44,2053.83
5/14/2007,747.75,3291.44,1690.65,1834.34,2369.58
5/30/2007,728.84,3210.46,1786.65,1851.85,2621.93
6/14/2007,717.27,3154.37,1758.26,1834.64,2668.64
6/29/2007,701.36,3008.97,1709.86,1779.80,2555.85
